,price,percent_change,market_cap,vol_24h,id
BTC,37571.0,0.07685,712270622524,26427638020.0,bitcoin
ETH,2594.86,-0.48091,310304086551,20449225206.0,ethereum
USDT,1.002,-0.03207,79456664165,54958822377.0,tether
BNB,364.12,-0.9501,61086677535,1839385377.0,binancecoin
USDC,1.002,-0.06216,52664313118,4382667551.0,usd-coin
XRP,0.702328,-8.0703,33581997992,5048780428.0,ripple
ADA,0.86992,-4.43514,27915816097,1840289158.0,cardano
SOL,84.93,-3.50085,27051829178,2113098120.0,solana
LUNA,52.29,5.73571,20161660156,1892205123.0,terra-luna
BUSD,1.001,0.10726,18099130156,3928206212.0,binance-usd
DOT,16.38,-0.57725,17759271509,1041643533.0,polkadot
AVAX,72.17,-4.45247,17635618352,1247398101.0,avalanche-2
DOGE,0.129445,-4.53066,17168551179,768528696.0,dogecoin
SHIB,2.452e-05,-3.91903,13437584847,1344665618.0,shiba-inu
UST,1.005,0.06148,12224913118,362208777.0,terrausd
MATIC,1.44,-2.45376,9880159085,1282308371.0,matic-network
WBTC,37532.0,-0.00176,9877868836,342450115.0,wrapped-bitcoin
CRO,0.387502,-1.6612,9746580996,159707229.0,crypto-com-chain
DAI,1.002,0.01495,9664572479,390940925.0,dai
LTC,104.53,-3.08874,7269334908,862815361.0,litecoin
ATOM,24.25,-3.80454,6987516904,667292801.0,cosmos
LINK,13.75,-2.4713,6422423815,774788449.0,chainlink
TRX,0.061469,-0.21654,6244201736,851754202.0,tron
FTT,40.71,0.98428,5598808957,130616915.0,ftx-token
NEAR,8.71,-3.65236,5557868145,361149660.0,near
BCH,290.35,-1.11019,5503816937,1403222747.0,bitcoin-cash
LEO,5.79,-1.10816,5411382574,932977.0,leo-token
ALGO,0.802949,-2.80651,5299135200,195441625.0,algorand
STETH,2587.38,-0.53074,4926520553,10813790.0,staked-ether
XLM,0.184053,-2.7692,4592235112,366722319.0,stellar
OKB,17.49,-6.07366,4586398092,163289225.0,okb
HBAR,0.213019,1.53995,4171026260,122010751.0,hedera-hashgraph
FTM,1.57,-5.88,3975188308,875711212.0,fantom
UNI,8.69,-3.99314,3953504103,246224520.0,uniswap
MANA,2.56,-5.94297,3835710335,1109581159.0,decentraland
ICP,17.7,-3.6723,3656542259,256135979.0,internet-computer
AXS,49.78,-4.05878,3533619458,398487648.0,axie-infinity
ETC,26.2,-0.14164,3483707537,423517630.0,ethereum-classic
SAND,3.08,-1.37465,3358580756,946964724.0,the-sandbox
EGLD,150.67,-0.71299,3292568272,192321811.0,elrond-erd-2
KLAY,1.24,-0.66152,3242405787,51162900.0,klay-token
FIL,18.8,-1.72953,3127733435,385229983.0,filecoin
VET,0.04624993,-2.58936,3082642868,361800540.0,vechain
CDAI,0.02195695,0.03511,2914470455,4745431.0,cdai
THETA,2.8,-2.20381,2798342914,229411981.0,theta-token
MIM,0.994046,-0.13257,2764135806,109548510.0,magic-internet-money
CETH,51.99,-0.57247,2675691740,862707.0,compound-ether
FRAX,1.0,0.06914,2653889563,22489422.0,frax
XMR,146.6,-4.50328,2643664134,136474831.0,monero
XTZ,2.97,-5.90356,2602037576,215895985.0,tezos
OMI,0.0044121,-9.17309,2563168004,7727676.0,ecomi
CUSDC,0.02258526,0.21807,2562394303,3178625.0,compound-usd-coin
OSMO,8.1,-2.42118,2454120098,88753246.0,osmosis
