,Bearish,Neutral,Bullish,Total/Compound
BTC,0.076,0.760,0.164,0.127
ADA,0.072,0.851,0.077,-0.007
ETH,0.167,0.709,0.124,-0.035
LRC,0.153,0.741,0.106,-0.221
CRO,0.077,0.687,0.236,0.261
DOT,0.023,0.814,0.163,0.203
SOL,0.106,0.748,0.146,0.143
ATH,0.159,0.695,0.146,-0.127
LTC,0.292,0.651,0.057,-0.835
ATOM,0.000,0.628,0.373,0.796
MATIC,0.099,0.901,0.000,-0.201
LINK,0.043,0.733,0.224,0.734
FTM,0.193,0.789,0.018,-0.637
PUSH,0.000,1.000,0.000,0.000
GUSD,0.120,0.696,0.183,0.248
ONE,0.246,0.556,0.198,-0.153
ENS,0.091,0.909,0.000,-0.318
UNI,0.000,0.853,0.147,0.226
ADD,0.000,0.868,0.132,0.440
AT,0.080,0.764,0.157,0.904
